structure,basis set,PySCF_Corr,Psi4_Corr,Abs. Dev.,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
BC,aug-cc-pVDZ,-0.2412954,-0.265969881,0.024674481,0.29673765072449115,0.2115229677560345,0.5457385434683436,0.50785225
BBe,aug-cc-pVDZ,-0.132774608,-0.160584904,0.027810296,0.19445477697891486,0.2792745696034265,0.5087744046347579,0.4647454093723496
BBe,cc-pVDZ,-0.131542772,-0.159722617,0.028179844,0.199232873,0.27760499829591934,0.5075657222890597,0.4653484045931248
BeN,aug-cc-pVDZ,-0.209933482,-0.181217563,0.028715919,0.347693966,0.17273346626880293,0.45275833283935824,0.35551086498222384
BeN,cc-pVDZ,-0.202743571,-0.173857018,0.028886553,0.3733158597801668,0.16962387288259886,0.4548786278482149,0.352043558
CLi,aug-cc-pVDZ,-0.121042847,-0.156049567,0.03500672,0.079599332,0.20052526076280458,0.4020282806860913,0.42674790103424337
CLi,cc-pVDZ,-0.112600437,-0.148028136,0.035427699,0.094960838,0.19083169537671196,0.41620538224961334,0.43917064168470504
CH,aug-cc-pVDZ,-0.111304675,-0.14800556,0.036700885,0.039292967,0.16461432821276842,0.29710956618782625,0.28970249929203673
CH,cc-pVDZ,-0.10713548,-0.144481696,0.037346217,0.031611198,0.1542654350643027,0.28403927871563783,0.2872954596009436
BeN,STO-3G,-0.131540093,-0.092381435,0.039158658,0.5023408651756139,0.23300357954943834,0.5647894228181042,0.37583678312875857
CH,STO-3G,-0.041852113,-0.08457582,0.042723707,0.017885655,0.11110691219482378,0.21496473015980877,0.27263721265805657
BBe,STO-3G,-0.119895811,-0.163417789,0.043521978,0.28444176452099224,0.29924143991412555,0.5622135871121668,0.5502348196551824
BO,aug-cc-pVDZ,-0.259397219,-0.316340313,0.056943093,0.12875028965477525,0.34357834225578454,0.3877883913846306,0.34182095673419777
BO,cc-pVDZ,-0.248707605,-0.305946118,0.057238513,0.1345832303966479,0.33983544102336016,0.3790692191984011,0.33959622559148006
CF,aug-cc-pVDZ,-0.309343653,-0.368127239,0.058783587,0.098898809,0.21794946621912314,0.3875014739396484,0.32077120874114873
CF,cc-pVDZ,-0.291093901,-0.351136993,0.060043092,0.097004347,0.2093487589578192,0.368224815,0.31589050879828123
CF,STO-3G,-0.070082962,-0.138252418,0.068169457,0.10700942536853254,0.21523408441957997,0.2639974810146731,0.2725845296736987
NO,STO-3G,-0.12800069,-0.197685026,0.069684336,0.1451371645596779,0.12243296122108742,0.33548788475037755,0.3111350612752918
BO,STO-3G,-0.116862568,-0.187471521,0.070608953,0.20341261205032915,0.3836887901586127,0.35223096498214584,0.37880158912205747
CLi,STO-3G,-0.073162461,,0.073162461,0.4196844722736398,,0.7915683064961985,
HO,cc-pVDZ,-0.165944724,-0.246755461,0.080810737,0.022139614,0.16336886345316975,0.25939025410655236,0.4896890935876395
