Name,L,Basis,Injection,Energy_NoRecovery,SubspaceDim_NoRecovery
but-1-yne,4,cc-pVDZ,ML,-154.9113882737653,133225
but-1-yne,4,cc-pVDZ,ML_exact,-154.9113882737653,170569
but-1-yne,4,cc-pVDZ,MP2,-154.9113882737653,95481
but-1-yne,4,cc-pVDZ,random,-154.9113882747189,140625
but-1-yne,4,cc-pVDZ,zeroes,-154.913695823125,115600
but-1-yne,5,STO-3G,CCSD,-153.0248949590479,121801
but-1-yne,5,STO-3G,ML,-153.0248949590479,131769
but-1-yne,5,STO-3G,ML_exact,-153.0248949590479,137641
but-1-yne,5,STO-3G,MP2,-153.0248949590479,136161
but-1-yne,5,STO-3G,random,-153.0248949590479,184041
but-1-yne,5,STO-3G,zeroes,-153.0356061717057,62500
but-1-yne,5,aug-cc-pVDZ,CCSD,-154.9167852198252,128881
but-1-yne,5,aug-cc-pVDZ,ML,-154.9167852198252,128881
but-1-yne,5,aug-cc-pVDZ,ML_exact,-154.9167852198252,139129
but-1-yne,5,aug-cc-pVDZ,MP2,-154.9167852198252,104329
but-1-yne,5,aug-cc-pVDZ,random,-154.9167852198252,160801
but-1-yne,5,aug-cc-pVDZ,zeroes,-154.9168539173232,81225
but-1-yne,5,cc-pVDZ,CCSD,-154.9113882737653,149769
but-1-yne,5,cc-pVDZ,ML,-154.9113882737653,120409
but-1-yne,5,cc-pVDZ,ML_exact,-154.9113882737653,156025
but-1-yne,5,cc-pVDZ,MP2,-154.9113883947168,159201
but-1-yne,5,cc-pVDZ,random,-154.9113882737653,145161
but-1-yne,5,cc-pVDZ,zeroes,-154.9233296928515,137641
"buta-1,3-diene",1,STO-3G,CCSD,-153.0166647982239,110889
"buta-1,3-diene",1,STO-3G,ML,-153.0165983727918,104976
"buta-1,3-diene",1,STO-3G,ML_exact,-153.0167367556865,100489
"buta-1,3-diene",1,STO-3G,MP2,-153.0169355724307,81225
"buta-1,3-diene",1,STO-3G,random,-153.0165417987441,137641
"buta-1,3-diene",1,STO-3G,zeroes,-153.0333194727522,44944
"buta-1,3-diene",1,aug-cc-pVDZ,CCSD,-154.9399130373326,89401
"buta-1,3-diene",1,aug-cc-pVDZ,ML,-154.9399456565581,136161
"buta-1,3-diene",1,aug-cc-pVDZ,ML_exact,-154.9399130462604,131769
"buta-1,3-diene",1,aug-cc-pVDZ,MP2,-154.9399130373326,120409
"buta-1,3-diene",1,aug-cc-pVDZ,random,-154.9399130373326,162409
"buta-1,3-diene",1,aug-cc-pVDZ,zeroes,-154.9437096654781,74529
"buta-1,3-diene",1,cc-pVDZ,CCSD,-154.9339206242786,91809
"buta-1,3-diene",1,cc-pVDZ,ML,-154.9339293513133,85849
"buta-1,3-diene",1,cc-pVDZ,ML_exact,-154.9339204035167,104329
"buta-1,3-diene",1,cc-pVDZ,MP2,-154.9341367660306,82944
"buta-1,3-diene",1,cc-pVDZ,random,-154.9339204035167,205209
"buta-1,3-diene",1,cc-pVDZ,zeroes,-154.9347336615248,44944
"buta-1,3-diene",2,STO-3G,CCSD,-153.0165417465356,96721
"buta-1,3-diene",2,STO-3G,ML,-153.0165563682837,89401
"buta-1,3-diene",2,STO-3G,ML_exact,-153.0165417465356,89401
"buta-1,3-diene",2,STO-3G,MP2,-153.0165417465356,112225
"buta-1,3-diene",2,STO-3G,random,-153.0165417465356,148225
"buta-1,3-diene",2,STO-3G,zeroes,-153.0227643578245,44944
"buta-1,3-diene",2,aug-cc-pVDZ,CCSD,-154.9399130373326,80089
"buta-1,3-diene",2,aug-cc-pVDZ,ML,-154.9399130373326,95481
"buta-1,3-diene",2,aug-cc-pVDZ,ML_exact,-154.9399130373326,96721
"buta-1,3-diene",2,aug-cc-pVDZ,MP2,-154.9399130373326,96721
"buta-1,3-diene",2,aug-cc-pVDZ,random,-154.9399130373326,108241
"buta-1,3-diene",2,aug-cc-pVDZ,zeroes,-154.944533576457,63001
"buta-1,3-diene",2,cc-pVDZ,CCSD,-154.9339204035167,103041
"buta-1,3-diene",2,cc-pVDZ,ML,-154.9339204038035,96721
"buta-1,3-diene",2,cc-pVDZ,ML_exact,-154.9339204035167,117649
"buta-1,3-diene",2,cc-pVDZ,MP2,-154.9339204035167,143641
"buta-1,3-diene",2,cc-pVDZ,random,-154.9339204035167,119025
"buta-1,3-diene",2,cc-pVDZ,zeroes,-154.9356557584044,56644
"buta-1,3-diene",3,STO-3G,CCSD,-153.0165417465356,116281
"buta-1,3-diene",3,STO-3G,ML,-153.0165417465356,83521
"buta-1,3-diene",3,STO-3G,ML_exact,-153.0165417465356,112225
"buta-1,3-diene",3,STO-3G,MP2,-153.0165417465356,116281
"buta-1,3-diene",3,STO-3G,random,-153.0165425859363,127449
"buta-1,3-diene",3,STO-3G,zeroes,-153.0245847022717,41209
"buta-1,3-diene",3,aug-cc-pVDZ,CCSD,-154.9399130373326,116281
"buta-1,3-diene",3,aug-cc-pVDZ,ML,-154.9399130373326,110889
"buta-1,3-diene",3,aug-cc-pVDZ,ML_exact,-154.9399130373326,119025
"buta-1,3-diene",3,aug-cc-pVDZ,MP2,-154.9399130373326,106929
"buta-1,3-diene",3,aug-cc-pVDZ,random,-154.9399130373326,106929
"buta-1,3-diene",3,aug-cc-pVDZ,zeroes,-154.9405739188061,69169
"buta-1,3-diene",3,cc-pVDZ,CCSD,-154.9339204035167,130321
"buta-1,3-diene",3,cc-pVDZ,ML,-154.9339204035167,93025
"buta-1,3-diene",3,cc-pVDZ,ML_exact,-154.9339204035167,127449
"buta-1,3-diene",3,cc-pVDZ,MP2,-154.9339204035167,116281
"buta-1,3-diene",3,cc-pVDZ,random,-154.9339204035167,94249
"buta-1,3-diene",3,cc-pVDZ,zeroes,-154.9355151660066,55696
"buta-1,3-diene",4,STO-3G,CCSD,-153.0165417465356,154449
"buta-1,3-diene",4,STO-3G,ML,-153.0165417465356,134689
"buta-1,3-diene",4,STO-3G,ML_exact,-153.0165417465356,117649
"buta-1,3-diene",4,STO-3G,MP2,-153.0165417465356,117649
"buta-1,3-diene",4,STO-3G,random,-153.0165417465356,97969
"buta-1,3-diene",4,STO-3G,zeroes,-153.0291702272264,42025
"buta-1,3-diene",4,aug-cc-pVDZ,CCSD,-154.9399130373326,103041
"buta-1,3-diene",4,aug-cc-pVDZ,ML,-154.9399130373326,185761
"buta-1,3-diene",4,aug-cc-pVDZ,ML_exact,-154.939913671339,128881
"buta-1,3-diene",4,aug-cc-pVDZ,MP2,-154.9399130373326,148225
"buta-1,3-diene",4,aug-cc-pVDZ,random,-154.9399130373326,114921
"buta-1,3-diene",4,aug-cc-pVDZ,zeroes,-154.9431878056503,58081
"buta-1,3-diene",4,cc-pVDZ,CCSD,-154.9339204035167,146689
"buta-1,3-diene",4,cc-pVDZ,ML,-154.9339204035167,114921
"buta-1,3-diene",4,cc-pVDZ,ML_exact,-154.9339204035167,95481
"buta-1,3-diene",4,cc-pVDZ,MP2,-154.9339204035167,117649
